5 Minutes,Speed (mph),# Lane Points,% Observed
1/1/2024 0:00,68.20,4,0.00
1/1/2024 0:05,67.80,4,0.00
1/1/2024 0:10,67.00,4,0.00
1/1/2024 0:15,67.00,4,0.00
1/1/2024 0:20,66.90,4,0.00
1/1/2024 0:25,67.20,4,0.00
1/1/2024 0:30,67.20,4,0.00
1/1/2024 0:35,67.00,4,0.00
1/1/2024 0:40,67.30,4,0.00
1/1/2024 0:45,67.20,4,0.00
1/1/2024 0:50,67.40,4,0.00
1/1/2024 0:55,67.10,4,0.00
1/1/2024 1:00,67.00,4,0.00
1/1/2024 1:05,67.30,4,0.00
1/1/2024 1:10,67.40,4,0.00
1/1/2024 1:15,67.30,4,0.00
1/1/2024 1:20,67.20,4,0.00
1/1/2024 1:25,67.00,4,0.00
1/1/2024 1:30,67.40,4,0.00
1/1/2024 1:35,67.50,4,0.00
1/1/2024 1:40,67.80,4,0.00
1/1/2024 1:45,67.30,4,0.00
1/1/2024 1:50,67.40,4,0.00
1/1/2024 1:55,67.70,4,0.00
1/1/2024 2:00,66.90,4,0.00
1/1/2024 2:05,67.50,4,0.00
1/1/2024 2:10,67.30,4,0.00
1/1/2024 2:15,67.40,4,0.00
1/1/2024 2:20,67.40,4,0.00
1/1/2024 2:25,67.50,4,0.00
1/1/2024 2:30,66.40,4,0.00
1/1/2024 2:35,66.60,4,0.00
1/1/2024 2:40,67.30,4,0.00
1/1/2024 2:45,67.30,4,0.00
1/1/2024 2:50,67.40,4,0.00
1/1/2024 2:55,67.50,4,0.00
1/1/2024 3:00,67.50,4,0.00
1/1/2024 3:05,66.80,4,0.00
1/1/2024 3:10,67.30,4,0.00
1/1/2024 3:15,66.90,4,0.00
1/1/2024 3:20,67.40,4,0.00
1/1/2024 3:25,67.30,4,0.00
1/1/2024 3:30,66.80,4,0.00
1/1/2024 3:35,67.30,4,0.00
1/1/2024 3:40,67.20,4,0.00
1/1/2024 3:45,66.90,4,0.00
1/1/2024 3:50,67.50,4,0.00
1/1/2024 3:55,67.40,4,0.00
1/1/2024 4:00,67.30,4,0.00
1/1/2024 4:05,67.10,4,0.00
1/1/2024 4:10,67.60,4,0.00
1/1/2024 4:15,67.40,4,0.00
1/1/2024 4:20,67.80,4,0.00
1/1/2024 4:25,67.40,4,0.00
1/1/2024 4:30,67.60,4,0.00
1/1/2024 4:35,67.90,4,0.00
1/1/2024 4:40,68.00,4,0.00
1/1/2024 4:45,67.80,4,0.00
1/1/2024 4:50,67.90,4,0.00
1/1/2024 4:55,67.60,4,0.00
1/1/2024 5:00,68.20,4,0.00
1/1/2024 5:05,68.00,4,0.00
1/1/2024 5:10,67.70,4,0.00
1/1/2024 5:15,67.80,4,0.00
1/1/2024 5:20,67.90,4,0.00
1/1/2024 5:25,68.10,4,0.00
1/1/2024 5:30,67.40,4,0.00
1/1/2024 5:35,67.60,4,0.00
1/1/2024 5:40,67.30,4,0.00
1/1/2024 5:45,67.50,4,0.00
1/1/2024 5:50,67.70,4,0.00
1/1/2024 5:55,67.60,4,0.00
1/1/2024 6:00,66.70,4,0.00
1/1/2024 6:05,67.00,4,0.00
1/1/2024 6:10,67.10,4,0.00
1/1/2024 6:15,66.90,4,0.00
1/1/2024 6:20,66.80,4,0.00
1/1/2024 6:25,66.70,4,0.00
1/1/2024 6:30,66.90,4,0.00
1/1/2024 6:35,67.10,4,0.00
1/1/2024 6:40,67.10,4,0.00
1/1/2024 6:45,66.90,4,0.00
1/1/2024 6:50,66.50,4,0.00
1/1/2024 6:55,66.30,4,0.00
1/1/2024 7:00,66.50,4,0.00
1/1/2024 7:05,66.30,4,0.00
1/1/2024 7:10,66.20,4,0.00
1/1/2024 7:15,65.90,4,0.00
1/1/2024 7:20,65.90,4,0.00
1/1/2024 7:25,65.90,4,0.00
1/1/2024 7:30,65.70,4,0.00
1/1/2024 7:35,65.70,4,0.00
1/1/2024 7:40,65.80,4,0.00
1/1/2024 7:45,64.80,4,0.00
1/1/2024 7:50,65.10,4,0.00
1/1/2024 7:55,65.40,4,0.00
1/1/2024 8:00,65.00,4,0.00
1/1/2024 8:05,64.80,4,0.00
1/1/2024 8:10,64.90,4,0.00
1/1/2024 8:15,64.90,4,0.00
1/1/2024 8:20,65.10,4,0.00
1/1/2024 8:25,65.00,4,0.00
1/1/2024 8:30,64.80,4,0.00
1/1/2024 8:35,65.10,4,0.00
1/1/2024 8:40,65.30,4,0.00
1/1/2024 8:45,64.90,4,0.00
1/1/2024 8:50,65.00,4,0.00
1/1/2024 8:55,64.60,4,0.00
1/1/2024 9:00,64.60,4,0.00
1/1/2024 9:05,64.50,4,0.00
1/1/2024 9:10,64.70,4,0.00
1/1/2024 9:15,64.60,4,0.00
1/1/2024 9:20,65.10,4,0.00
1/1/2024 9:25,65.10,4,0.00
1/1/2024 9:30,65.10,4,0.00
1/1/2024 9:35,65.20,4,0.00
1/1/2024 9:40,65.40,4,0.00
1/1/2024 9:45,65.20,4,0.00
1/1/2024 9:50,65.20,4,0.00
1/1/2024 9:55,65.20,4,0.00
1/1/2024 10:00,64.60,4,0.00
1/1/2024 10:05,64.70,4,0.00
1/1/2024 10:10,64.80,4,0.00
1/1/2024 10:15,64.50,4,0.00
1/1/2024 10:20,64.70,4,0.00
1/1/2024 10:25,65.10,4,0.00
1/1/2024 10:30,64.40,4,0.00
1/1/2024 10:35,64.40,4,0.00
1/1/2024 10:40,64.40,4,0.00
1/1/2024 10:45,64.50,4,0.00
1/1/2024 10:50,64.20,4,0.00
1/1/2024 10:55,64.60,4,0.00
1/1/2024 11:00,64.70,4,0.00
1/1/2024 11:05,64.50,4,0.00
1/1/2024 11:10,64.40,4,0.00
1/1/2024 11:15,64.30,4,0.00
1/1/2024 11:20,64.50,4,0.00
1/1/2024 11:25,64.60,4,0.00
1/1/2024 11:30,64.30,4,0.00
1/1/2024 11:35,64.60,4,0.00
1/1/2024 11:40,64.50,4,0.00
1/1/2024 11:45,64.90,4,0.00
1/1/2024 11:50,64.40,4,0.00
1/1/2024 11:55,64.10,4,0.00
1/1/2024 12:00,64.10,4,0.00
1/1/2024 12:05,64.20,4,0.00
1/1/2024 12:10,64.30,4,0.00
1/1/2024 12:15,64.50,4,0.00
1/1/2024 12:20,64.40,4,0.00
1/1/2024 12:25,64.30,4,0.00
1/1/2024 12:30,64.70,4,0.00
1/1/2024 12:35,64.60,4,0.00
1/1/2024 12:40,64.40,4,0.00
1/1/2024 12:45,64.70,4,0.00
1/1/2024 12:50,64.70,4,0.00
1/1/2024 12:55,65.10,4,0.00
1/1/2024 13:00,64.30,4,0.00
1/1/2024 13:05,64.10,4,0.00
1/1/2024 13:10,64.00,4,0.00
1/1/2024 13:15,64.10,4,0.00
1/1/2024 13:20,64.20,4,0.00
1/1/2024 13:25,63.90,4,0.00
1/1/2024 13:30,63.70,4,0.00
1/1/2024 13:35,63.70,4,0.00
1/1/2024 13:40,63.90,4,0.00
1/1/2024 13:45,63.90,4,0.00
1/1/2024 13:50,63.50,4,0.00
1/1/2024 13:55,63.70,4,0.00
1/1/2024 14:00,63.70,4,0.00
1/1/2024 14:05,63.60,4,0.00
1/1/2024 14:10,63.50,4,0.00
1/1/2024 14:15,63.40,4,0.00
1/1/2024 14:20,63.70,4,0.00
1/1/2024 14:25,63.60,4,0.00
1/1/2024 14:30,63.50,4,0.00
1/1/2024 14:35,63.10,4,0.00
1/1/2024 14:40,62.70,4,0.00
1/1/2024 14:45,61.90,4,0.00
1/1/2024 14:50,60.00,4,0.00
1/1/2024 14:55,59.20,4,0.00
1/1/2024 15:00,56.70,4,0.00
1/1/2024 15:05,57.60,4,0.00
1/1/2024 15:10,44.00,4,0.00
1/1/2024 15:15,29.80,4,0.00
1/1/2024 15:20,22.60,4,0.00
1/1/2024 15:25,18.40,4,0.00
1/1/2024 15:30,15.20,4,0.00
1/1/2024 15:35,14.70,4,0.00
1/1/2024 15:40,11.80,4,0.00
1/1/2024 15:45,10.70,4,0.00
1/1/2024 15:50,9.40,4,0.00
1/1/2024 15:55,9.20,4,0.00
1/1/2024 16:00,9.20,4,0.00
1/1/2024 16:05,9.30,4,0.00
1/1/2024 16:10,8.90,4,0.00
1/1/2024 16:15,8.10,4,0.00
1/1/2024 16:20,7.60,4,0.00
1/1/2024 16:25,7.50,4,0.00
1/1/2024 16:30,7.30,4,0.00
1/1/2024 16:35,7.40,4,0.00
1/1/2024 16:40,7.50,4,0.00
1/1/2024 16:45,7.70,4,0.00
1/1/2024 16:50,7.50,4,0.00
1/1/2024 16:55,7.40,4,0.00
1/1/2024 17:00,7.40,4,0.00
1/1/2024 17:05,7.70,4,0.00
1/1/2024 17:10,7.40,4,0.00
1/1/2024 17:15,7.40,4,0.00
1/1/2024 17:20,8.20,4,0.00
1/1/2024 17:25,7.80,4,0.00
1/1/2024 17:30,7.60,4,0.00
1/1/2024 17:35,8.10,4,0.00
1/1/2024 17:40,8.60,4,0.00
1/1/2024 17:45,9.40,4,0.00
1/1/2024 17:50,9.30,4,0.00
1/1/2024 17:55,11.00,4,0.00
1/1/2024 18:00,18.10,4,0.00
1/1/2024 18:05,35.30,4,0.00
1/1/2024 18:10,48.30,4,0.00
1/1/2024 18:15,56.20,4,0.00
1/1/2024 18:20,59.30,4,0.00
