 ,Speed (mph),# Lane Points,% Observed
1/1/2024 0:00,71.30,5,100.00
1/1/2024 0:05,72.50,5,100.00
1/1/2024 0:10,71.70,5,100.00
1/1/2024 0:15,71.60,5,100.00
1/1/2024 0:20,71.10,5,100.00
1/1/2024 0:25,72.00,5,100.00
1/1/2024 0:30,71.00,5,100.00
1/1/2024 0:35,71.50,5,100.00
1/1/2024 0:40,71.80,5,100.00
1/1/2024 0:45,71.70,5,100.00
1/1/2024 0:50,71.00,5,100.00
1/1/2024 0:55,70.30,5,100.00
1/1/2024 1:00,69.30,5,100.00
1/1/2024 1:05,69.50,5,100.00
1/1/2024 1:10,70.40,5,100.00
1/1/2024 1:15,71.40,5,100.00
1/1/2024 1:20,71.40,5,100.00
1/1/2024 1:25,71.90,5,100.00
1/1/2024 1:30,72.10,5,100.00
1/1/2024 1:35,71.70,5,100.00
1/1/2024 1:40,71.90,5,100.00
1/1/2024 1:45,72.20,5,100.00
1/1/2024 1:50,72.80,5,100.00
1/1/2024 1:55,72.60,5,100.00
1/1/2024 2:00,72.20,5,100.00
1/1/2024 2:05,72.50,5,100.00
1/1/2024 2:10,72.90,5,100.00
1/1/2024 2:15,72.60,5,100.00
1/1/2024 2:20,72.40,5,100.00
1/1/2024 2:25,72.60,5,100.00
1/1/2024 2:30,72.50,5,100.00
1/1/2024 2:35,72.60,5,100.00
1/1/2024 2:40,72.90,5,100.00
1/1/2024 2:45,72.10,5,100.00
1/1/2024 2:50,72.60,5,100.00
1/1/2024 2:55,72.90,5,100.00
1/1/2024 3:00,72.30,5,100.00
1/1/2024 3:05,71.80,5,100.00
1/1/2024 3:10,72.10,5,100.00
1/1/2024 3:15,72.60,5,100.00
1/1/2024 3:20,72.30,5,100.00
1/1/2024 3:25,72.30,5,100.00
1/1/2024 3:30,73.10,5,100.00
1/1/2024 3:35,71.50,5,100.00
1/1/2024 3:40,73.00,5,100.00
1/1/2024 3:45,72.10,5,100.00
1/1/2024 3:50,73.30,5,100.00
1/1/2024 3:55,71.40,5,100.00
1/1/2024 4:00,72.20,5,100.00
1/1/2024 4:05,72.50,5,100.00
1/1/2024 4:10,72.60,5,100.00
1/1/2024 4:15,72.30,5,100.00
1/1/2024 4:20,72.80,5,100.00
1/1/2024 4:25,72.20,5,100.00
1/1/2024 4:30,72.70,5,100.00
1/1/2024 4:35,72.20,5,100.00
1/1/2024 4:40,72.70,5,100.00
1/1/2024 4:45,71.90,5,100.00
1/1/2024 4:50,72.30,5,100.00
1/1/2024 4:55,71.90,5,100.00
1/1/2024 5:00,72.70,5,100.00
1/1/2024 5:05,72.50,5,100.00
1/1/2024 5:10,72.30,5,100.00
1/1/2024 5:15,72.00,5,100.00
1/1/2024 5:20,73.00,5,100.00
1/1/2024 5:25,72.20,5,100.00
1/1/2024 5:30,72.30,5,100.00
1/1/2024 5:35,72.40,5,100.00
1/1/2024 5:40,72.30,5,100.00
