Hour,Lane 1 Flow (Veh/Hour),Lane 2 Flow (Veh/Hour),Lane 3 Flow (Veh/Hour),Lane 4 Flow (Veh/Hour),Flow (Veh/Hour),# Lane Points,% Observed
1/1/2024 0:00,133,214,176,71,594,48,100.00
1/1/2024 1:00,267,379,231,123,1000,48,100.00
1/1/2024 2:00,208,283,199,87,777,48,100.00
1/1/2024 3:00,149,210,179,69,607,48,100.00
1/1/2024 4:00,70,140,123,36,369,48,100.00
1/1/2024 5:00,90,164,111,47,412,48,100.00
1/1/2024 6:00,114,210,174,61,559,48,100.00
1/1/2024 7:00,165,275,232,111,783,48,100.00
1/1/2024 8:00,262,414,354,147,1177,48,100.00
1/1/2024 9:00,556,703,501,256,2016,48,100.00
1/1/2024 10:00,903,972,719,390,2984,48,100.00
1/1/2024 11:00,1217,1233,882,531,3863,48,100.00
1/1/2024 12:00,1444,1314,1002,513,4273,48,100.00
1/1/2024 13:00,1470,1384,979,603,4436,48,100.00
1/1/2024 14:00,1633,1468,1038,584,4723,48,100.00
1/1/2024 15:00,1446,1314,1004,575,4339,48,100.00
1/1/2024 16:00,1361,1192,901,514,3968,48,100.00
1/1/2024 17:00,1336,1197,895,463,3891,48,100.00
1/1/2024 18:00,1221,1138,842,490,3691,48,100.00
1/1/2024 19:00,1175,1071,772,430,3448,48,100.00
1/1/2024 20:00,1240,1092,807,454,3593,48,100.00
1/1/2024 21:00,1145,1061,745,410,3361,48,100.00
1/1/2024 22:00,715,717,489,276,2197,48,100.00
1/1/2024 23:00,458,505,371,161,1495,48,100.00
1/2/2024 0:00,214,352,188,86,840,48,100.00
1/2/2024 1:00,103,167,120,65,455,48,100.00
1/2/2024 2:00,49,110,84,55,298,48,100.00
1/2/2024 3:00,71,142,90,57,360,48,100.00
1/2/2024 4:00,211,293,176,105,785,48,100.00
1/2/2024 5:00,629,614,380,212,1835,48,100.00
1/2/2024 6:00,803,789,527,276,2395,48,100.00
1/2/2024 7:00,938,926,566,289,2719,48,100.00
1/2/2024 8:00,911,991,618,337,2857,48,100.00
1/2/2024 9:00,1077,1131,787,353,3348,48,100.00
1/2/2024 10:00,1237,1212,749,407,3605,48,100.00
1/2/2024 11:00,1324,1310,949,530,4113,48,100.00
1/2/2024 12:00,1206,1191,842,427,3666,48,100.00
1/2/2024 13:00,1194,1156,776,410,3536,48,100.00
1/2/2024 14:00,1250,1185,833,435,3703,48,100.00
1/2/2024 15:00,1279,1229,901,480,3889,48,100.00
1/2/2024 16:00,1233,1228,875,456,3792,48,100.00
1/2/2024 17:00,1405,1298,954,510,4167,48,100.00
1/2/2024 18:00,1127,1049,768,378,3322,48,100.00
1/2/2024 19:00,907,912,642,310,2771,48,100.00
1/2/2024 20:00,970,957,593,346,2866,48,100.00
1/2/2024 21:00,795,814,527,242,2378,48,100.00
1/2/2024 22:00,508,596,395,182,1681,48,100.00
1/2/2024 23:00,437,520,343,152,1452,48,100.00
1/3/2024 0:00,208,325,195,122,850,48,100.00
1/3/2024 1:00,118,193,143,103,557,48,100.00
1/3/2024 2:00,56,126,101,95,378,48,100.00
1/3/2024 3:00,57,146,101,83,387,48,100.00
1/3/2024 4:00,203,293,188,129,813,48,100.00
1/3/2024 5:00,481,538,336,230,1585,48,100.00
1/3/2024 6:00,622,678,474,252,2026,48,100.00
