5 Minutes,Speed (mph),# Lane Points,% Observed
1/8/2024 0:00,69.60,5,100.00
1/8/2024 0:05,66.60,5,100.00
1/8/2024 0:10,67.60,5,100.00
1/8/2024 0:15,67.10,5,100.00
1/8/2024 0:20,68.90,5,100.00
1/8/2024 0:25,69.50,5,100.00
1/8/2024 0:30,68.90,5,100.00
1/8/2024 0:35,68.20,5,100.00
1/8/2024 0:40,69.00,5,100.00
1/8/2024 0:45,69.30,5,100.00
1/8/2024 0:50,68.60,5,100.00
1/8/2024 0:55,68.30,5,100.00
1/8/2024 1:00,68.00,5,100.00
1/8/2024 1:05,70.00,5,100.00
1/8/2024 1:10,69.10,5,100.00
1/8/2024 1:15,68.30,5,100.00
1/8/2024 1:20,68.20,5,100.00
1/8/2024 1:25,68.60,5,100.00
1/8/2024 1:30,70.00,5,100.00
1/8/2024 1:35,69.30,5,100.00
1/8/2024 1:40,69.50,5,100.00
1/8/2024 1:45,68.80,5,100.00
1/8/2024 1:50,69.60,5,100.00
1/8/2024 1:55,69.80,5,100.00
1/8/2024 2:00,69.20,5,100.00
1/8/2024 2:05,68.90,5,100.00
1/8/2024 2:10,70.10,5,100.00
1/8/2024 2:15,68.70,5,100.00
1/8/2024 2:20,69.80,5,100.00
1/8/2024 2:25,68.90,5,100.00
1/8/2024 2:30,70.30,5,100.00
1/8/2024 2:35,70.20,5,100.00
1/8/2024 2:40,68.90,5,100.00
1/8/2024 2:45,68.30,5,100.00
1/8/2024 2:50,69.70,5,100.00
1/8/2024 2:55,68.50,5,100.00
1/8/2024 3:00,69.10,5,100.00
1/8/2024 3:05,69.70,5,100.00
1/8/2024 3:10,69.50,5,100.00
1/8/2024 3:15,69.20,5,100.00
1/8/2024 3:20,70.30,5,100.00
1/8/2024 3:25,68.70,5,100.00
1/8/2024 3:30,67.90,5,100.00
1/8/2024 3:35,66.30,5,100.00
1/8/2024 3:40,66.00,5,100.00
1/8/2024 3:45,66.40,5,100.00
1/8/2024 3:50,67.10,5,100.00
1/8/2024 3:55,65.80,5,100.00
1/8/2024 4:00,64.60,5,100.00
1/8/2024 4:05,64.90,5,100.00
