5 Minutes,Speed (mph),# Lane Points,% Observed
1/8/2024 0:00,65.30,4,0.00
1/8/2024 0:05,65.40,4,0.00
1/8/2024 0:10,65.50,4,0.00
1/8/2024 0:15,65.20,4,0.00
1/8/2024 0:20,65.50,4,0.00
1/8/2024 0:25,65.40,4,0.00
1/8/2024 0:30,64.60,4,0.00
1/8/2024 0:35,65.00,4,0.00
1/8/2024 0:40,64.60,4,0.00
1/8/2024 0:45,64.80,4,0.00
1/8/2024 0:50,64.80,4,0.00
1/8/2024 0:55,65.20,4,0.00
1/8/2024 1:00,64.30,4,0.00
1/8/2024 1:05,65.30,4,0.00
1/8/2024 1:10,65.10,4,0.00
1/8/2024 1:15,64.30,4,0.00
1/8/2024 1:20,64.70,4,0.00
1/8/2024 1:25,64.80,4,0.00
1/8/2024 1:30,64.60,4,0.00
1/8/2024 1:35,64.40,4,0.00
1/8/2024 1:40,64.50,4,0.00
1/8/2024 1:45,64.20,4,0.00
1/8/2024 1:50,64.80,4,0.00
1/8/2024 1:55,64.70,4,0.00
1/8/2024 2:00,64.80,4,0.00
1/8/2024 2:05,64.50,4,0.00
1/8/2024 2:10,64.40,4,0.00
1/8/2024 2:15,64.50,4,0.00
1/8/2024 2:20,64.60,4,0.00
1/8/2024 2:25,64.30,4,0.00
1/8/2024 2:30,64.50,4,0.00
1/8/2024 2:35,64.40,4,0.00
1/8/2024 2:40,64.40,4,0.00
1/8/2024 2:45,64.60,4,0.00
1/8/2024 2:50,64.30,4,0.00
1/8/2024 2:55,64.20,4,0.00
1/8/2024 3:00,64.50,4,0.00
1/8/2024 3:05,64.20,4,0.00
1/8/2024 3:10,64.50,4,0.00
1/8/2024 3:15,64.60,4,0.00
1/8/2024 3:20,64.70,4,0.00
1/8/2024 3:25,64.50,4,0.00
1/8/2024 3:30,64.40,4,0.00
1/8/2024 3:35,64.70,4,0.00
1/8/2024 3:40,64.40,4,0.00
1/8/2024 3:45,64.40,4,0.00
1/8/2024 3:50,64.60,4,0.00
1/8/2024 3:55,64.60,4,0.00
1/8/2024 4:00,64.10,4,0.00
1/8/2024 4:05,64.30,4,0.00
1/8/2024 4:10,64.70,4,0.00
1/8/2024 4:15,64.10,4,0.00
1/8/2024 4:20,64.70,4,0.00
1/8/2024 4:25,64.60,4,0.00
1/8/2024 4:30,64.70,4,0.00
1/8/2024 4:35,64.00,4,0.00
1/8/2024 4:40,64.60,4,0.00
1/8/2024 4:45,64.30,4,0.00
1/8/2024 4:50,64.80,4,0.00
1/8/2024 4:55,64.10,4,0.00
1/8/2024 5:00,64.80,4,0.00
1/8/2024 5:05,65.00,4,0.00
1/8/2024 5:10,64.80,4,0.00
1/8/2024 5:15,64.70,4,0.00
1/8/2024 5:20,65.10,4,0.00
1/8/2024 5:25,65.00,4,0.00
1/8/2024 5:30,65.20,4,0.00
1/8/2024 5:35,65.00,4,0.00
1/8/2024 5:40,65.30,4,0.00
1/8/2024 5:45,65.40,4,0.00
1/8/2024 5:50,65.50,4,0.00
1/8/2024 5:55,65.60,4,0.00
1/8/2024 6:00,65.30,4,0.00
1/8/2024 6:05,65.80,4,0.00
1/8/2024 6:10,64.70,4,0.00
1/8/2024 6:15,65.60,4,0.00
1/8/2024 6:20,65.60,4,0.00
1/8/2024 6:25,65.60,4,0.00
1/8/2024 6:30,65.40,4,0.00
1/8/2024 6:35,64.70,4,0.00
1/8/2024 6:40,65.10,4,0.00
1/8/2024 6:45,65.20,4,0.00
1/8/2024 6:50,65.20,4,0.00
1/8/2024 6:55,64.80,4,0.00
1/8/2024 7:00,64.80,4,0.00
1/8/2024 7:05,64.90,4,0.00
1/8/2024 7:10,65.10,4,0.00
1/8/2024 7:15,65.10,4,0.00
1/8/2024 7:20,65.10,4,0.00
1/8/2024 7:25,65.10,4,0.00
1/8/2024 7:30,65.50,4,0.00
1/8/2024 7:35,64.50,4,0.00
1/8/2024 7:40,64.90,4,0.00
1/8/2024 7:45,64.30,4,0.00
1/8/2024 7:50,64.20,4,0.00
1/8/2024 7:55,64.70,4,0.00
1/8/2024 8:00,64.50,4,0.00
1/8/2024 8:05,64.40,4,0.00
1/8/2024 8:10,64.70,4,0.00
1/8/2024 8:15,64.40,4,0.00
1/8/2024 8:20,64.30,4,0.00
1/8/2024 8:25,64.50,4,0.00
1/8/2024 8:30,64.20,4,0.00
1/8/2024 8:35,64.70,4,0.00
1/8/2024 8:40,64.80,4,0.00
1/8/2024 8:45,64.70,4,0.00
1/8/2024 8:50,64.90,4,0.00
1/8/2024 8:55,64.50,4,0.00
1/8/2024 9:00,63.80,4,0.00
1/8/2024 9:05,64.00,4,0.00
1/8/2024 9:10,64.50,4,0.00
1/8/2024 9:15,64.30,4,0.00
1/8/2024 9:20,64.40,4,0.00
1/8/2024 9:25,64.20,4,0.00
1/8/2024 9:30,64.20,4,0.00
1/8/2024 9:35,64.20,4,0.00
1/8/2024 9:40,64.40,4,0.00
1/8/2024 9:45,64.50,4,0.00
1/8/2024 9:50,63.80,4,0.00
1/8/2024 9:55,63.10,4,0.00
1/8/2024 10:00,63.40,4,0.00
1/8/2024 10:05,63.20,4,0.00
1/8/2024 10:10,63.60,4,0.00
1/8/2024 10:15,63.10,4,0.00
1/8/2024 10:20,63.40,4,0.00
1/8/2024 10:25,64.00,4,0.00
1/8/2024 10:30,63.30,4,0.00
1/8/2024 10:35,63.00,4,0.00
1/8/2024 10:40,63.10,4,0.00
1/8/2024 10:45,63.40,4,0.00
1/8/2024 10:50,63.10,4,0.00
1/8/2024 10:55,63.90,4,0.00
1/8/2024 11:00,63.90,4,0.00
1/8/2024 11:05,63.60,4,0.00
1/8/2024 11:10,63.50,4,0.00
1/8/2024 11:15,63.60,4,0.00
1/8/2024 11:20,63.70,4,0.00
1/8/2024 11:25,63.20,4,0.00
1/8/2024 11:30,63.10,4,0.00
1/8/2024 11:35,63.70,4,0.00
1/8/2024 11:40,64.00,4,0.00
1/8/2024 11:45,63.70,4,0.00
1/8/2024 11:50,63.60,4,0.00
1/8/2024 11:55,64.20,4,0.00
1/8/2024 12:00,63.70,4,0.00
1/8/2024 12:05,63.70,4,0.00
1/8/2024 12:10,63.50,4,0.00
1/8/2024 12:15,63.00,4,0.00
1/8/2024 12:20,63.50,4,0.00
1/8/2024 12:25,62.90,4,0.00
1/8/2024 12:30,62.70,4,0.00
1/8/2024 12:35,63.00,4,0.00
1/8/2024 12:40,63.40,4,0.00
1/8/2024 12:45,64.00,4,0.00
1/8/2024 12:50,63.30,4,0.00
1/8/2024 12:55,63.00,4,0.00
1/8/2024 13:00,63.30,4,0.00
1/8/2024 13:05,63.80,4,0.00
1/8/2024 13:10,64.10,4,0.00
1/8/2024 13:15,64.10,4,0.00
1/8/2024 13:20,64.50,4,0.00
