5 Minutes,Speed (mph),# Lane Points,% Observed
1/8/2024 0:00,61.60,6,0.00
1/8/2024 0:05,61.00,6,0.00
1/8/2024 0:10,60.70,6,0.00
1/8/2024 0:15,60.40,6,0.00
1/8/2024 0:20,59.90,6,0.00
1/8/2024 0:25,60.10,6,0.00
1/8/2024 0:30,59.70,6,0.00
1/8/2024 0:35,60.50,6,0.00
1/8/2024 0:40,59.90,6,0.00
1/8/2024 0:45,61.00,6,0.00
1/8/2024 0:50,61.00,6,0.00
1/8/2024 0:55,60.20,6,0.00
1/8/2024 1:00,60.70,6,0.00
1/8/2024 1:05,61.00,6,0.00
1/8/2024 1:10,58.90,6,0.00
1/8/2024 1:15,61.20,6,0.00
1/8/2024 1:20,60.30,6,0.00
1/8/2024 1:25,60.40,6,0.00
1/8/2024 1:30,59.70,6,0.00
1/8/2024 1:35,60.70,6,0.00
1/8/2024 1:40,59.90,6,0.00
1/8/2024 1:45,60.50,6,0.00
1/8/2024 1:50,60.00,6,0.00
1/8/2024 1:55,61.00,6,0.00
1/8/2024 2:00,61.40,6,0.00
1/8/2024 2:05,61.00,6,0.00
1/8/2024 2:10,60.60,6,0.00
1/8/2024 2:15,60.50,6,0.00
1/8/2024 2:20,59.80,6,0.00
1/8/2024 2:25,60.70,6,0.00
1/8/2024 2:30,60.10,6,0.00
1/8/2024 2:35,59.60,6,0.00
1/8/2024 2:40,60.80,6,0.00
1/8/2024 2:45,60.30,6,0.00
1/8/2024 2:50,60.90,6,0.00
1/8/2024 2:55,60.20,6,0.00
1/8/2024 3:00,59.80,6,0.00
1/8/2024 3:05,60.70,6,0.00
1/8/2024 3:10,60.70,6,0.00
1/8/2024 3:15,61.00,6,0.00
1/8/2024 3:20,60.60,6,0.00
1/8/2024 3:25,61.00,6,0.00
1/8/2024 3:30,61.20,6,0.00
1/8/2024 3:35,61.10,6,0.00
1/8/2024 3:40,61.70,6,0.00
1/8/2024 3:45,60.50,6,0.00
1/8/2024 3:50,61.20,6,0.00
1/8/2024 3:55,60.60,6,0.00
1/8/2024 4:00,60.30,6,0.00
1/8/2024 4:05,60.70,6,0.00
1/8/2024 4:10,61.90,6,0.00
1/8/2024 4:15,61.70,6,0.00
1/8/2024 4:20,59.50,6,0.00
1/8/2024 4:25,62.30,6,0.00
1/8/2024 4:30,61.80,6,0.00
1/8/2024 4:35,62.00,6,0.00
1/8/2024 4:40,62.60,6,0.00
1/8/2024 4:45,61.00,6,0.00
1/8/2024 4:50,61.80,6,0.00
1/8/2024 4:55,62.30,6,0.00
1/8/2024 5:00,61.90,6,0.00
1/8/2024 5:05,61.30,6,0.00
1/8/2024 5:10,58.20,6,0.00
