5 Minutes,Lane 1 Speed (mph),Speed (mph),# Lane Points,% Observed
1/8/2024 0:00,74.30,68.50,5,0.00
1/8/2024 0:05,74.00,67.90,5,0.00
1/8/2024 0:10,73.30,67.60,5,0.00
1/8/2024 0:15,73.30,67.90,5,0.00
1/8/2024 0:20,73.40,67.70,5,0.00
1/8/2024 0:25,73.50,68.10,5,0.00
1/8/2024 0:30,73.40,68.00,5,0.00
1/8/2024 0:35,73.30,68.00,5,0.00
1/8/2024 0:40,73.40,68.20,5,0.00
1/8/2024 0:45,73.50,68.20,5,0.00
1/8/2024 0:50,73.50,68.30,5,0.00
1/8/2024 0:55,73.30,68.20,5,0.00
1/8/2024 1:00,73.50,68.20,5,0.00
1/8/2024 1:05,73.60,67.60,5,0.00
1/8/2024 1:10,73.60,68.60,5,0.00
1/8/2024 1:15,73.50,67.40,5,0.00
1/8/2024 1:20,73.50,68.10,5,0.00
1/8/2024 1:25,73.60,68.30,5,0.00
1/8/2024 1:30,73.60,67.40,5,0.00
1/8/2024 1:35,73.60,68.20,5,0.00
1/8/2024 1:40,73.40,68.00,5,0.00
1/8/2024 1:45,72.30,67.40,5,0.00
1/8/2024 1:50,73.00,67.90,5,0.00
1/8/2024 1:55,72.80,66.60,5,0.00
1/8/2024 2:00,73.30,67.20,5,0.00
1/8/2024 2:05,73.40,67.40,5,0.00
1/8/2024 2:10,73.10,67.90,5,0.00
1/8/2024 2:15,73.30,68.10,5,0.00
1/8/2024 2:20,72.60,67.40,5,0.00
1/8/2024 2:25,73.00,67.00,5,0.00
1/8/2024 2:30,73.00,67.80,5,0.00
1/8/2024 2:35,73.20,66.80,5,0.00
1/8/2024 2:40,73.20,68.10,5,0.00
1/8/2024 2:45,73.50,67.20,5,0.00
1/8/2024 2:50,73.50,66.90,5,0.00
1/8/2024 2:55,73.30,67.00,5,0.00
1/8/2024 3:00,73.60,67.40,5,0.00
1/8/2024 3:05,73.00,67.70,5,0.00
1/8/2024 3:10,73.10,67.10,5,0.00
1/8/2024 3:15,73.20,67.80,5,0.00
1/8/2024 3:20,73.20,67.20,5,0.00
