5 Minutes,Lane 2 Speed (mph),Speed (mph),# Lane Points,% Observed
1/8/2024 0:00,63.90,67.20,2,0.00
1/8/2024 0:05,63.70,66.90,2,0.00
1/8/2024 0:10,63.60,66.60,2,0.00
1/8/2024 0:15,63.50,66.50,2,0.00
1/8/2024 0:20,63.50,66.70,2,0.00
1/8/2024 0:25,63.50,66.50,2,0.00
1/8/2024 0:30,63.30,66.50,2,0.00
1/8/2024 0:35,63.30,66.30,2,0.00
1/8/2024 0:40,63.30,66.30,2,0.00
1/8/2024 0:45,63.30,66.50,2,0.00
1/8/2024 0:50,63.30,66.30,2,0.00
1/8/2024 0:55,63.10,66.10,2,0.00
1/8/2024 1:00,63.20,66.50,2,0.00
1/8/2024 1:05,63.30,66.60,2,0.00
1/8/2024 1:10,63.30,66.30,2,0.00
1/8/2024 1:15,63.30,66.30,2,0.00
1/8/2024 1:20,63.20,66.20,2,0.00
1/8/2024 1:25,63.20,66.50,2,0.00
1/8/2024 1:30,63.10,66.40,2,0.00
1/8/2024 1:35,63.10,66.40,2,0.00
1/8/2024 1:40,63.10,66.10,2,0.00
1/8/2024 1:45,63.10,66.10,2,0.00
1/8/2024 1:50,63.20,66.20,2,0.00
1/8/2024 1:55,63.00,66.00,2,0.00
1/8/2024 2:00,63.10,66.50,2,0.00
1/8/2024 2:05,63.10,66.50,2,0.00
1/8/2024 2:10,63.00,66.40,2,0.00
1/8/2024 2:15,63.00,66.40,2,0.00
1/8/2024 2:20,63.10,66.50,2,0.00
1/8/2024 2:25,63.00,66.40,2,0.00
1/8/2024 2:30,63.10,66.50,2,0.00
1/8/2024 2:35,63.10,66.50,2,0.00
1/8/2024 2:40,63.00,66.40,2,0.00
1/8/2024 2:45,63.10,66.50,2,0.00
1/8/2024 2:50,62.90,66.30,2,0.00
1/8/2024 2:55,62.90,66.30,2,0.00
1/8/2024 3:00,62.90,65.90,2,0.00
1/8/2024 3:05,63.10,66.50,2,0.00
1/8/2024 3:10,63.00,66.40,2,0.00
1/8/2024 3:15,63.10,66.50,2,0.00
1/8/2024 3:20,63.00,66.40,2,0.00
1/8/2024 3:25,62.90,65.90,2,0.00
1/8/2024 3:30,63.00,66.00,2,0.00
1/8/2024 3:35,63.10,66.40,2,0.00
1/8/2024 3:40,63.10,66.10,2,0.00
1/8/2024 3:45,63.20,66.20,2,0.00
1/8/2024 3:50,63.10,66.10,2,0.00
1/8/2024 3:55,63.00,66.00,2,0.00
1/8/2024 4:00,62.90,65.90,2,0.00
1/8/2024 4:05,62.90,66.20,2,0.00
1/8/2024 4:10,63.00,66.00,2,0.00
1/8/2024 4:15,63.20,66.20,2,0.00
1/8/2024 4:20,63.10,66.30,2,0.00
1/8/2024 4:25,63.10,66.30,2,0.00
1/8/2024 4:30,63.10,66.30,2,0.00
1/8/2024 4:35,63.20,66.50,2,0.00
1/8/2024 4:40,63.30,66.50,2,0.00
1/8/2024 4:45,63.40,66.60,2,0.00
1/8/2024 4:50,63.40,66.50,2,0.00
1/8/2024 4:55,63.20,66.30,2,0.00
1/8/2024 5:00,63.20,66.40,2,0.00
1/8/2024 5:05,63.30,66.50,2,0.00
1/8/2024 5:10,63.40,66.60,2,0.00
1/8/2024 5:15,63.40,66.50,2,0.00
1/8/2024 5:20,63.40,66.50,2,0.00
1/8/2024 5:25,63.50,66.70,2,0.00
1/8/2024 5:30,63.50,66.70,2,0.00
1/8/2024 5:35,63.60,66.70,2,0.00
1/8/2024 5:40,63.70,66.90,2,0.00
1/8/2024 5:45,63.70,66.90,2,0.00
1/8/2024 5:50,63.60,66.70,2,0.00
1/8/2024 5:55,63.60,66.80,2,0.00
1/8/2024 6:00,62.90,66.10,2,0.00
1/8/2024 6:05,62.90,66.00,2,0.00
1/8/2024 6:10,62.80,65.80,2,0.00
1/8/2024 6:15,62.60,65.70,2,0.00
1/8/2024 6:20,62.50,65.50,2,0.00
1/8/2024 6:25,62.30,65.40,2,0.00
1/8/2024 6:30,62.30,65.40,2,0.00
1/8/2024 6:35,62.20,65.20,2,0.00
1/8/2024 6:40,62.20,65.30,2,0.00
1/8/2024 6:45,62.20,65.30,2,0.00
1/8/2024 6:50,62.20,65.30,2,0.00
1/8/2024 6:55,62.20,65.20,2,0.00
1/8/2024 7:00,62.20,65.30,2,0.00
1/8/2024 7:05,62.10,65.20,2,0.00
1/8/2024 7:10,62.10,65.20,2,0.00
1/8/2024 7:15,62.10,65.10,2,0.00
1/8/2024 7:20,62.10,65.20,2,0.00
1/8/2024 7:25,62.10,65.10,2,0.00
1/8/2024 7:30,62.00,65.00,2,0.00
1/8/2024 7:35,62.00,65.00,2,0.00
1/8/2024 7:40,62.00,65.10,2,0.00
1/8/2024 7:45,61.90,65.00,2,0.00
1/8/2024 7:50,62.00,65.10,2,0.00
1/8/2024 7:55,62.00,65.10,2,0.00
1/8/2024 8:00,62.00,65.00,2,0.00
1/8/2024 8:05,61.90,64.90,2,0.00
1/8/2024 8:10,61.90,65.00,2,0.00
1/8/2024 8:15,61.70,64.70,2,0.00
1/8/2024 8:20,61.70,64.80,2,0.00
1/8/2024 8:25,61.70,64.80,2,0.00
1/8/2024 8:30,61.60,64.60,2,0.00
1/8/2024 8:35,61.60,64.60,2,0.00
1/8/2024 8:40,61.50,64.60,2,0.00
1/8/2024 8:45,61.50,64.60,2,0.00
1/8/2024 8:50,61.60,64.60,2,0.00
1/8/2024 8:55,61.50,64.50,2,0.00
1/8/2024 9:00,61.50,64.60,2,0.00
1/8/2024 9:05,61.40,64.40,2,0.00
1/8/2024 9:10,61.40,64.50,2,0.00
1/8/2024 9:15,61.40,64.50,2,0.00
1/8/2024 9:20,61.40,64.50,2,0.00
1/8/2024 9:25,61.40,64.50,2,0.00
1/8/2024 9:30,61.40,64.40,2,0.00
