vds_id,Freeway,Direction,Lat,Lng
1111514,I8,E,32.759902,-117.198808
1108728,I8,E,32.759348,-117.183573
1114540,I8,E,32.759183,-117.178777
1114546,I8,W,32.759391,-117.178628
1113486,I8,E,32.760765,-117.168352
1116574,I8,W,32.76094,-117.168387
1115356,I8,E,32.762251,-117.163891
1115528,I8,W,32.762484,-117.163806
1115413,I8,E,32.763372,-117.161338
1115517,I8,W,32.763521,-117.161398
1115432,I8,E,32.766398,-117.149306
1115555,I8,W,32.766647,-117.149197
1115438,I8,E,32.769371,-117.141035
1115565,I8,W,32.7696,-117.141098
1111551,I8,E,32.770199,-117.138086
1111552,I8,W,32.770449,-117.137998
1115420,I8,E,32.771765,-117.131454
1116165,I8,W,32.771975,-117.13137
1115426,I8,E,32.773712,-117.126494
1115548,I8,W,32.773995,-117.126658
1111566,I8,E,32.775511,-117.123177
1111540,I8,W,32.775842,-117.123367
1115444,I8,E,32.778433,-117.115538
1115572,I8,W,32.77864,-117.115576
1116783,I8,E,32.778588,-117.107852
1111541,I8,W,32.778779,-117.107698
1111565,I8,E,32.779563,-117.097648
1115578,I8,W,32.779797,-117.097638
1111549,I8,E,32.780247,-117.093435
1111550,I8,W,32.780477,-117.093423
1122623,I8,W,32.78098,-117.084335
1115450,I8,E,32.779599,-117.078077
1115584,I8,W,32.779956,-117.078071
1108366,I8,E,32.779196,-117.070373
1115592,I8,W,32.779399,-117.069167
1127052,I8,W,32.779341,-117.063339
1118752,I8,E,32.778134,-117.0595
1118760,I8,W,32.778313,-117.059444
1108333,I8,W,32.777676,-117.05636
1111564,I8,E,32.777456,-117.056144
1114573,I8,E,32.775506,-117.048852
1127026,I8,W,32.773373,-117.037209
1111535,I8,E,32.778349,-117.001972
1108341,I8,W,32.77854,-117.002043
1108343,I8,W,32.779338,-116.993991
1111534,I8,E,32.77926,-116.98433
1108345,I8,W,32.779483,-116.984331
1108423,I8,W,32.786528,-116.978673
1108347,I8,W,32.796708,-116.977003
1115463,I8,E,32.799171,-116.975958
1115608,I8,W,32.799323,-116.976153
1111530,I8,E,32.802653,-116.970854
1108385,I8,W,32.802894,-116.970932
1111532,I8,E,32.802871,-116.969256
1108351,I8,W,32.803085,-116.969138
1111531,I8,E,32.802943,-116.952114
1111561,I8,W,32.803162,-116.951001
1122637,I8,E,32.802945,-116.950577
1122646,I8,E,32.80296,-116.944468
1108387,I8,W,32.803141,-116.933156
1108353,I8,W,32.803156,-116.930874
1111563,I8,W,32.81621,-116.913418
1115612,I8,W,32.82227,-116.908889
1115616,I8,W,32.826251,-116.903963
1111569,I8,W,32.830106,-116.898815
1115477,I8,E,32.835088,-116.892905
1116593,I8,E,32.839935,-116.887743
1111575,I8,W,32.844154,-116.882891
1115624,I8,E,32.845664,-116.876283
1115628,I8,E,32.850581,-116.870112
1113364,I8,W,32.853586,-116.852901
1123081,I805,N,32.904961,-117.224172
1123064,I805,S,32.904824,-117.224404
1125913,I805,N,32.89479,-117.214108
1108653,I805,N,32.89135,-117.207199
1125769,I805,S,32.891018,-117.207135
1113473,I805,S,32.889096,-117.204916
1115964,I805,N,32.881721,-117.201326
1108413,I805,S,32.875201,-117.199467
1111553,I805,N,32.867237,-117.192319
1108764,I805,S,32.8671,-117.192516
1108580,I805,N,32.858916,-117.184886
1108410,I805,S,32.857504,-117.184358
1126184,I805,N,32.847538,-117.177909
1126175,I805,N,32.842493,-117.174848
1108398,I805,S,32.834806,-117.170551
1108577,I805,N,32.832144,-117.168507
1117850,I805,N,32.82148,-117.162099
1118957,I805,S,32.821375,-117.162372
1118020,I805,N,32.817658,-117.159876
1118013,I805,S,32.817541,-117.16012
1127218,I805,N,32.81754,-117.159809
1117857,I805,S,32.817425,-117.16005
1115240,I805,N,32.811675,-117.155267
1115246,I805,S,32.811513,-117.155527
1111570,I805,S,32.80848,-117.152784
1116133,I805,N,32.804673,-117.150822
1115946,I805,S,32.803497,-117.15084
1108393,I805,S,32.80262,-117.150601
1116126,I805,N,32.800085,-117.149586
1116119,I805,N,32.793965,-117.149604
1115937,I805,S,32.793814,-117.149876
1115929,I805,S,32.786586,-117.146806
1108572,I805,N,32.786267,-117.146089
1108391,I805,S,32.782519,-117.140901
1113460,I805,N,32.782683,-117.140648
1116112,I805,N,32.781007,-117.138625
1115921,I805,S,32.78088,-117.138885
1127224,I805,N,32.767405,-117.128984
1123124,I805,N,32.760845,-117.12661
1111542,I805,S,32.75559,-117.125202
1118908,I805,N,32.750436,-117.123137
1111543,I805,S,32.749059,-117.122867
1121253,I805,N,32.748079,-117.121872
1111572,I805,N,32.741916,-117.116768
1123210,I805,S,32.74171,-117.117028
1122929,I805,N,32.733017,-117.112332
1111544,I805,S,32.729729,-117.107696
1126553,I805,N,32.725845,-117.103188
1108441,I805,N,32.714775,-117.102476
1111545,I805,S,32.714727,-117.102692
1127252,I805,N,32.704271,-117.094872
1111546,I805,S,32.704152,-117.095206
1111547,I805,S,32.69111,-117.094893
1125457,I805,N,32.691156,-117.094637
1125925,I805,S,32.686682,-117.09211
1108448,I805,N,32.67811,-117.084893
1111548,I805,S,32.678037,-117.085196
1125944,I805,S,32.67285,-117.0827
1120046,I805,N,32.659517,-117.0754
1126006,I805,S,32.659385,-117.075656
1121387,I805,S,32.659151,-117.07545
1121394,I805,S,32.654401,-117.071164
1120040,I805,S,32.651396,-117.068162
1120256,I805,N,32.647826,-117.06068
1121401,I805,S,32.647524,-117.060767
1116413,I805,N,32.639745,-117.054289
1116424,I805,S,32.639599,-117.054604
1120025,I805,N,32.63687,-117.049588
1120018,I805,S,32.636725,-117.049889
1120291,I805,S,32.630238,-117.044458
1122693,I805,N,32.618855,-117.039388
1126790,I805,S,32.618779,-117.039649
1115972,I805,S,32.608399,-117.036523
1116055,I805,N,32.608222,-117.036161
1115979,I805,S,32.603075,-117.036435
1115905,I805,N,32.60296,-117.036122
1115912,I805,S,32.5978,-117.036463
1116061,I805,N,32.597548,-117.036123
1122699,I805,N,32.584089,-117.036837
1122706,I805,S,32.584073,-117.037098
1126368,I805,N,32.578428,-117.038084
1119804,I805,S,32.578095,-117.038478
1126361,I805,N,32.578126,-117.038144
1118670,I805,S,32.572631,-117.039744
1118677,I805,N,32.572606,-117.039448
