vds_id,Freeway,Direction,Lat,Lng,Lanes
1111514,I8,E,32.759902,-117.198808,2
1108728,I8,E,32.759348,-117.183573,2
1114540,I8,E,32.759183,-117.178777,4
1114546,I8,W,32.759391,-117.178628,4
1113486,I8,E,32.760765,-117.168352,2
1116574,I8,W,32.76094,-117.168387,2
1115356,I8,E,32.762251,-117.163891,5
1115528,I8,W,32.762484,-117.163806,5
1115413,I8,E,32.763372,-117.161338,5
1115517,I8,W,32.763521,-117.161398,5
1115432,I8,E,32.766398,-117.149306,4
1115555,I8,W,32.766647,-117.149197,5
1115438,I8,E,32.769371,-117.141035,4
1115565,I8,W,32.7696,-117.141098,5
1111551,I8,E,32.770199,-117.138086,4
1111552,I8,W,32.770449,-117.137998,4
1115420,I8,E,32.771765,-117.131454,4
1116165,I8,W,32.771975,-117.13137,3
1115426,I8,E,32.773712,-117.126494,4
1115548,I8,W,32.773995,-117.126658,4
1111566,I8,E,32.775511,-117.123177,5
1111540,I8,W,32.775842,-117.123367,5
1115444,I8,E,32.778433,-117.115538,5
1115572,I8,W,32.77864,-117.115576,5
1116783,I8,E,32.778588,-117.107852,4
1111541,I8,W,32.778779,-117.107698,4
1111565,I8,E,32.779563,-117.097648,4
1115578,I8,W,32.779797,-117.097638,4
1111549,I8,E,32.780247,-117.093435,6
1111550,I8,W,32.780477,-117.093423,6
1122623,I8,W,32.78098,-117.084335,6
1115450,I8,E,32.779599,-117.078077,4
1115584,I8,W,32.779956,-117.078071,4
1108366,I8,E,32.779196,-117.070373,4
1115592,I8,W,32.779399,-117.069167,6
1127052,I8,W,32.779341,-117.063339,6
1118752,I8,E,32.778134,-117.0595,5
1118760,I8,W,32.778313,-117.059444,5
1108333,I8,W,32.777676,-117.05636,2
1111564,I8,E,32.777456,-117.056144,5
1114573,I8,E,32.775506,-117.048852,5
1127026,I8,W,32.773373,-117.037209,5
1111535,I8,E,32.778349,-117.001972,4
1108341,I8,W,32.77854,-117.002043,4
1108343,I8,W,32.779338,-116.993991,4
1111534,I8,E,32.77926,-116.98433,4
1108345,I8,W,32.779483,-116.984331,5
1108423,I8,W,32.786528,-116.978673,4
1108347,I8,W,32.796708,-116.977003,4
1115463,I8,E,32.799171,-116.975958,6
1115608,I8,W,32.799323,-116.976153,6
1111530,I8,E,32.802653,-116.970854,5
1108385,I8,W,32.802894,-116.970932,4
1111532,I8,E,32.802871,-116.969256,4
1108351,I8,W,32.803085,-116.969138,4
1111531,I8,E,32.802943,-116.952114,4
1111561,I8,W,32.803162,-116.951001,3
1122637,I8,E,32.802945,-116.950577,3
1122646,I8,E,32.80296,-116.944468,3
1108387,I8,W,32.803141,-116.933156,3
1108353,I8,W,32.803156,-116.930874,4
1111563,I8,W,32.81621,-116.913418,3
1115612,I8,W,32.82227,-116.908889,2
1115616,I8,W,32.826251,-116.903963,2
1111569,I8,W,32.830106,-116.898815,2
1115477,I8,E,32.835088,-116.892905,2
1116593,I8,E,32.839935,-116.887743,2
1111575,I8,W,32.844154,-116.882891,2
1115624,I8,E,32.845664,-116.876283,2
1115628,I8,E,32.850581,-116.870112,2
1113364,I8,W,32.853586,-116.852901,2
